player,team,position,games,goals,assists,points,penalties,pim,plus_minus,shots,toi,goals_per_game,assists_per_game,points_per_game,shots_per_game,toi_per_game
Jannik Fischer,HC Ajoie,defender,48,1,5,6,11,71,-15,23,46749,0.021,0.104,0.125,0.479,973.94
Nicholas Steiner,EHC Kloten,defender,49,2,4,6,11,26,2,37,42749,0.041,0.082,0.122,0.755,872.43
Yanick Sablatnig,EHC Biel-Bienne,forwarder,52,3,3,6,12,30,-5,36,31916,0.058,0.058,0.115,0.692,613.77
Steve Kellenberger,EHC Kloten,defender,52,1,5,6,5,10,-2,29,39205,0.019,0.096,0.115,0.558,753.94
Floran Douay,Lausanne HC,forwarder,53,3,3,6,9,45,-3,35,29174,0.057,0.057,0.113,0.66,550.45
Patrick Geering,ZSC Lions,defender,55,1,5,6,4,8,12,84,58769,0.018,0.091,0.109,1.527,1068.53
Lukas Landry,HC Ambri-Piotta,forwarder,56,4,2,6,4,12,-4,36,23662,0.071,0.036,0.107,0.643,422.54
Joel Henry,EHC Kloten,forwarder,8,2,3,5,1,2,-2,10,7335,0.25,0.375,0.625,1.25,916.88
Johan Sundström,ZSC Lions,forwarder,10,3,2,5,1,2,3,18,9567,0.3,0.2,0.5,1.8,956.7
Nathan Borradori,HC Ambri-Piotta,forwarder,12,2,3,5,1,2,3,10,4726,0.167,0.25,0.417,0.833,393.83
Rasmus Kupari,HC Lugano,forwarder,13,2,3,5,2,4,-3,24,11615,0.154,0.231,0.385,1.846,893.46
Oula Palve,EHC Kloten,forwarder,16,1,4,5,3,6,-6,27,15235,0.062,0.25,0.312,1.688,952.19
Cal O'Reilly,SCL Tigers,forwarder,20,1,4,5,1,2,-2,22,21349,0.05,0.2,0.25,1.1,1067.45
Jamiro Reber,Fribourg-Gottéron,forwarder,21,1,4,5,3,29,1,19,13826,0.048,0.19,0.238,0.905,658.38
Igor Jelovac,SC Rapperswil-Jona Lakers,defender,24,2,3,5,7,78,1,17,21885,0.083,0.125,0.208,0.708,911.88
Samuel Kreis,SC Bern,defender,24,0,5,5,5,10,1,18,23141,0.0,0.208,0.208,0.75,964.21
Nolan Diem,EHC Kloten,forwarder,29,3,2,5,5,12,-10,32,18649,0.103,0.069,0.172,1.103,643.07
Simone Terraneo,HC Ambri-Piotta,defender,31,1,4,5,5,10,-10,28,18686,0.032,0.129,0.161,0.903,602.77
Kevin Fey,HC Ajoie,defender,31,1,4,5,8,18,-5,23,32898,0.032,0.129,0.161,0.742,1061.23
Harrison Luc Schreiber,EHC Kloten,forwarder,35,2,3,5,2,4,-9,39,24890,0.057,0.086,0.143,1.114,711.14
Daniele Grassi,HC Ambri-Piotta,forwarder,36,1,4,5,6,24,-7,23,23012,0.028,0.111,0.139,0.639,639.22
Arno Nussbaumer,HC Ajoie,defender,42,2,3,5,2,4,-18,31,34537,0.048,0.071,0.119,0.738,822.31
Nico Gross,HC Davos,defender,49,1,4,5,11,22,-1,40,39412,0.02,0.082,0.102,0.816,804.33
Thierry Schild,SC Bern,forwarder,51,1,4,5,3,24,-10,38,24580,0.02,0.078,0.098,0.745,481.96
Fabian Ritzmann,SC Bern,forwarder,53,0,5,5,3,6,-5,52,32951,0.0,0.094,0.094,0.981,621.72
Sven Leuenberger,EV Zug,forwarder,56,2,3,5,6,12,-8,22,40653,0.036,0.054,0.089,0.393,725.95
Julian Parrée,HC Davos,forwarder,56,0,5,5,4,8,-3,31,27671,0.0,0.089,0.089,0.554,494.12
Tarmo Reunanen,HC Ajoie,defender,7,0,4,4,0,0,-2,22,10446,0.0,0.571,0.571,3.143,1492.29
Niko Huuhtanen,EHC Biel-Bienne,forwarder,11,2,2,4,2,29,1,15,7238,0.182,0.182,0.364,1.364,658.0
Nicolas Petan,HC Ambri-Piotta,forwarder,15,1,3,4,2,4,-13,28,15296,0.067,0.2,0.267,1.867,1019.73
Oskari Laaksonen,EHC Biel-Bienne,defender,16,0,4,4,4,11,2,36,19783,0.0,0.25,0.25,2.25,1236.44
Cyrill Henry,HC Lugano,forwarder,19,1,3,4,0,0,1,8,6078,0.053,0.158,0.211,0.421,319.89
Jonas Taibel,SC Rapperswil-Jona Lakers,forwarder,21,0,4,4,1,2,-7,13,15815,0.0,0.19,0.19,0.619,753.1
Luca Capaul,SC Rapperswil-Jona Lakers,defender,22,1,3,4,5,10,1,30,19150,0.045,0.136,0.182,1.364,870.45
Mauro Dufner,SCRJ Lakers,defender,24,2,2,4,3,8,7,25,20443,0.083,0.083,0.167,1.042,851.79
Valentin Hofer,SC Rapperswil-Jona Lakers,forwarder,24,2,2,4,1,2,-6,22,15449,0.083,0.083,0.167,0.917,643.71
Luca Capaul,SCRJ Lakers,defender,29,0,4,4,8,22,1,47,24809,0.0,0.138,0.138,1.621,855.48
Eric Schneller,Genève-Servette HC,defender,32,2,2,4,1,25,-2,23,14211,0.062,0.062,0.125,0.719,444.09
Nik Lehmann,SCL Tigers,defender,36,1,3,4,0,0,-3,18,17095,0.028,0.083,0.111,0.5,474.86
Makai Holdener,Lausanne HC,forwarder,36,1,3,4,3,6,-3,17,13776,0.028,0.083,0.111,0.472,382.67
Christophe Cavalleri,HC Ajoie,forwarder,38,3,1,4,4,8,-7,27,17116,0.079,0.026,0.105,0.711,450.42
Beni Waidacher,HC Davos,forwarder,39,2,2,4,1,2,0,19,18157,0.051,0.051,0.103,0.487,465.56
Fabian Maier,SCRJ Lakers,defender,39,0,4,4,10,24,-9,33,40194,0.0,0.103,0.103,0.846,1030.62
Igor Jelovac,SCRJ Lakers,defender,40,0,4,4,12,53,-4,38,41219,0.0,0.1,0.1,0.95,1030.47
Cédric Fiedler,Lausanne HC,defender,44,2,2,4,9,22,0,44,33254,0.045,0.045,0.091,1.0,755.77
Gaël Christe,HC Ajoie,defender,47,1,3,4,5,10,-24,43,39029,0.021,0.064,0.085,0.915,830.4
Simon Seiler,Fribourg-Gottéron,defender,51,1,3,4,13,34,4,18,35957,0.02,0.059,0.078,0.353,705.04
Luca Christen,EHC Biel-Bienne,forwarder,52,2,2,4,8,16,-9,14,22391,0.038,0.038,0.077,0.269,430.6
Curtis Valk,HC Lugano,forwarder,5,1,2,3,1,2,-1,5,3703,0.2,0.4,0.6,1.0,740.6
Pontus Aberg,EHC Kloten,forwarder,6,2,1,3,0,0,-2,20,5731,0.333,0.167,0.5,3.333,955.17
Philippe Maillet,SC Rapperswil-Jona Lakers,forwarder,8,0,3,3,3,24,1,20,8409,0.0,0.375,0.375,2.5,1051.12
Sean Malone,SCL Tigers,forwarder,11,2,1,3,1,2,2,17,8941,0.182,0.091,0.273,1.545,812.82
