season,round,round_index,team,elo
2025-26,19,19,Pioneers Vorarlberg,1399.16
2025-26,19,19,Steinbach Black Wings Linz,1507.34
2025-26,19,19,Vienna Capitals,1459.78
2025-26,20,20,EC Red Bull Salzburg,1500.74
2025-26,20,20,EC iDM Wärmepumpen VSV,1532.41
2025-26,20,20,EC-KAC,1558.61
2025-26,20,20,FTC-Telekom,1455.08
2025-26,20,20,HC Falkensteiner Pustertal,1555.93
2025-26,20,20,HC TIWAG Innsbruck - Die Haie,1423.28
2025-26,20,20,HCB Südtirol Alperia,1541.88
2025-26,20,20,Hydro Fehervar AV 19,1453.76
2025-26,20,20,Moser Medical Graz99ers,1550.56
2025-26,20,20,Olimpija Ljubljana,1569.64
2025-26,20,20,Pioneers Vorarlberg,1392.18
2025-26,20,20,Steinbach Black Wings Linz,1514.32
2025-26,20,20,Vienna Capitals,1451.61
2025-26,21,21,EC Red Bull Salzburg,1517.36
2025-26,21,21,EC iDM Wärmepumpen VSV,1523.48
2025-26,21,21,EC-KAC,1565.96
2025-26,21,21,FTC-Telekom,1464.93
2025-26,21,21,HC Falkensteiner Pustertal,1555.93
2025-26,21,21,HC TIWAG Innsbruck - Die Haie,1413.44
2025-26,21,21,HCB Südtirol Alperia,1552.7
2025-26,21,21,Hydro Fehervar AV 19,1466.47
2025-26,21,21,Moser Medical Graz99ers,1537.84
2025-26,21,21,Olimpija Ljubljana,1578.57
2025-26,21,21,Pioneers Vorarlberg,1381.36
2025-26,21,21,Steinbach Black Wings Linz,1497.7
2025-26,21,21,Vienna Capitals,1444.26
2025-26,22,22,EC Red Bull Salzburg,1528.75
2025-26,22,22,EC iDM Wärmepumpen VSV,1534.79
2025-26,22,22,EC-KAC,1554.57
2025-26,22,22,FTC-Telekom,1473.01
2025-26,22,22,HC Falkensteiner Pustertal,1565.17
2025-26,22,22,HC TIWAG Innsbruck - Die Haie,1404.19
2025-26,22,22,HCB Südtirol Alperia,1538.34
2025-26,22,22,Hydro Fehervar AV 19,1455.16
2025-26,22,22,Moser Medical Graz99ers,1552.2
2025-26,22,22,Olimpija Ljubljana,1565.55
2025-26,22,22,Pioneers Vorarlberg,1373.27
2025-26,22,22,Steinbach Black Wings Linz,1510.72
2025-26,22,22,Vienna Capitals,1444.26
2025-26,23,23,EC Red Bull Salzburg,1515.96
2025-26,23,23,EC iDM Wärmepumpen VSV,1520.45
2025-26,23,23,EC-KAC,1536.3
2025-26,23,23,FTC-Telekom,1473.01
2025-26,23,23,HC Falkensteiner Pustertal,1551.32
2025-26,23,23,HC TIWAG Innsbruck - Die Haie,1422.46
2025-26,23,23,HCB Südtirol Alperia,1550.95
2025-26,23,23,Hydro Fehervar AV 19,1443.88
2025-26,23,23,Moser Medical Graz99ers,1564.99
2025-26,23,23,Olimpija Ljubljana,1579.4
2025-26,23,23,Pioneers Vorarlberg,1387.61
2025-26,23,23,Steinbach Black Wings Linz,1498.12
2025-26,23,23,Vienna Capitals,1455.54
2025-26,24,24,EC Red Bull Salzburg,1515.96
2025-26,24,24,EC iDM Wärmepumpen VSV,1509.81
2025-26,24,24,EC-KAC,1545.3
2025-26,24,24,FTC-Telekom,1453.85
2025-26,24,24,HC Falkensteiner Pustertal,1558.63
2025-26,24,24,HC TIWAG Innsbruck - Die Haie,1416.0
2025-26,24,24,HCB Südtirol Alperia,1557.41
2025-26,24,24,Hydro Fehervar AV 19,1463.05
2025-26,24,24,Moser Medical Graz99ers,1575.41
2025-26,24,24,Olimpija Ljubljana,1568.98
2025-26,24,24,Pioneers Vorarlberg,1378.62
2025-26,24,24,Steinbach Black Wings Linz,1508.76
2025-26,24,24,Vienna Capitals,1448.23
2025-26,25,25,EC Red Bull Salzburg,1527.04
2025-26,25,25,EC iDM Wärmepumpen VSV,1497.56
2025-26,25,25,EC-KAC,1557.55
2025-26,25,25,FTC-Telekom,1447.05
2025-26,25,25,HC Falkensteiner Pustertal,1568.06
2025-26,25,25,HC TIWAG Innsbruck - Die Haie,1404.91
2025-26,25,25,HCB Südtirol Alperia,1564.69
2025-26,25,25,Hydro Fehervar AV 19,1463.05
2025-26,25,25,Moser Medical Graz99ers,1583.51
2025-26,25,25,Olimpija Ljubljana,1575.79
2025-26,25,25,Pioneers Vorarlberg,1369.2
2025-26,25,25,Steinbach Black Wings Linz,1500.65
2025-26,25,25,Vienna Capitals,1440.95
2025-26,26,26,EC Red Bull Salzburg,1514.78
2025-26,26,26,EC iDM Wärmepumpen VSV,1513.58
2025-26,26,26,EC-KAC,1574.05
2025-26,26,26,FTC-Telekom,1459.31
2025-26,26,26,HC Falkensteiner Pustertal,1551.55
2025-26,26,26,HC TIWAG Innsbruck - Die Haie,1397.6
2025-26,26,26,HCB Südtirol Alperia,1548.67
2025-26,26,26,Hydro Fehervar AV 19,1476.77
2025-26,26,26,Moser Medical Graz99ers,1589.82
2025-26,26,26,Olimpija Ljubljana,1562.06
2025-26,26,26,Pioneers Vorarlberg,1369.2
