game_slug,season,team,jersey,name,goals_against,is_captain,is_starter,minutes,save_pct,saves
04042026_eisbaeren-berlin_gg_straubing-tigers_4362,2025-26,Straubing Tigers,40,Henrik Haukeland,6,False,True,75:18,82.86%,29
04042026_eisbaeren-berlin_gg_straubing-tigers_4362,2025-26,Straubing Tigers,1,Florian Bugl,,False,False,,,
04042026_eisbaeren-berlin_gg_straubing-tigers_4362,2025-26,Straubing Tigers,21,Sebastian Wieber,,False,False,,,
04042026_erc-ingolstadt_gg_ehc-red-bull-muenchen_4365,2025-26,ERC Ingolstadt,36,Brett Brochu,5,False,True,57:29,79.17%,19
04042026_erc-ingolstadt_gg_ehc-red-bull-muenchen_4365,2025-26,ERC Ingolstadt,31,Devin Williams,,False,False,,,
04042026_erc-ingolstadt_gg_ehc-red-bull-muenchen_4365,2025-26,EHC Red Bull München,30,Antoine Bibeau,3,False,True,60:00,91.43%,32
04042026_erc-ingolstadt_gg_ehc-red-bull-muenchen_4365,2025-26,EHC Red Bull München,25,Simon Wolf,,False,False,,,
04042026_erc-ingolstadt_gg_ehc-red-bull-muenchen_4365,2025-26,EHC Red Bull München,32,Matthias Bittner,,False,False,,,
04102025_loewen-frankfurt_gg_koelner-haie_3990,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,1,False,True,60:00,96.55%,28
04102025_loewen-frankfurt_gg_koelner-haie_3990,2025-26,Löwen Frankfurt,51,Cody Brenner,,False,False,,,
04102025_loewen-frankfurt_gg_koelner-haie_3990,2025-26,Löwen Frankfurt,74,Rodion Schumacher,,False,False,,,
04102025_loewen-frankfurt_gg_koelner-haie_3990,2025-26,Kölner Haie,90,Felix Brückmann,2,False,True,56:36,89.47%,17
04102025_loewen-frankfurt_gg_koelner-haie_3990,2025-26,Kölner Haie,45,Tobias Ancicka,,False,False,,,
04122025_augsburger-panther_gg_dresdner-eisloewen_4110,2025-26,Augsburger Panther,34,Michael Garteig,4,False,True,54:52,83.33%,20
04122025_augsburger-panther_gg_dresdner-eisloewen_4110,2025-26,Augsburger Panther,41,Peyton Jones,,False,False,,,
04122025_augsburger-panther_gg_dresdner-eisloewen_4110,2025-26,Dresdner Eislöwen,62,Janick Schwendener,2,False,True,60:00,94.87%,37
04122025_augsburger-panther_gg_dresdner-eisloewen_4110,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,,False,False,,,
05102025_adler-mannheim_gg_iserlohn-roosters_3993,2025-26,Adler Mannheim,56,Maximilian Franzreb,1,False,True,60:00,96.55%,28
05102025_adler-mannheim_gg_iserlohn-roosters_3993,2025-26,Adler Mannheim,72,Kimi Saffran,,False,False,,,
05102025_adler-mannheim_gg_iserlohn-roosters_3993,2025-26,Iserlohn Roosters,92,Andreas Jenike,4,False,True,60:00,87.50%,28
05102025_adler-mannheim_gg_iserlohn-roosters_3993,2025-26,Iserlohn Roosters,32,Hendrik Hane,,False,False,,,
05102025_dresdner-eisloewen_gg_augsburger-panther_3992,2025-26,Dresdner Eislöwen,35,Julius Hudacek,4,False,True,58:32,89.74%,35
05102025_dresdner-eisloewen_gg_augsburger-panther_3992,2025-26,Dresdner Eislöwen,62,Janick Schwendener,,False,False,,,
05102025_dresdner-eisloewen_gg_augsburger-panther_3992,2025-26,Dresdner Eislöwen,55,Paul Stocker,,False,False,,,
05102025_dresdner-eisloewen_gg_augsburger-panther_3992,2025-26,Augsburger Panther,34,Michael Garteig,1,False,True,60:00,96.30%,26
05102025_dresdner-eisloewen_gg_augsburger-panther_3992,2025-26,Augsburger Panther,41,Peyton Jones,,False,False,,,
05122025_eisbaeren-berlin_gg_iserlohn-roosters_4112,2025-26,Eisbären Berlin,30,Jake Hildebrand,3,False,True,60:00,86.96%,20
05122025_eisbaeren-berlin_gg_iserlohn-roosters_4112,2025-26,Eisbären Berlin,1,Jonas Stettmer,,False,False,,,
05122025_eisbaeren-berlin_gg_iserlohn-roosters_4112,2025-26,Iserlohn Roosters,32,Hendrik Hane,5,False,True,57:30,80.77%,21
05122025_eisbaeren-berlin_gg_iserlohn-roosters_4112,2025-26,Iserlohn Roosters,92,Andreas Jenike,,False,False,,,
05122025_grizzlys-wolfsburg_gg_loewen-frankfurt_4116,2025-26,Grizzlys Wolfsburg,1,Dustin Strahlmeier,1,False,True,60:00,96.15%,25
05122025_grizzlys-wolfsburg_gg_loewen-frankfurt_4116,2025-26,Grizzlys Wolfsburg,67,Hannibal Weitzmann,,False,False,,,
05122025_grizzlys-wolfsburg_gg_loewen-frankfurt_4116,2025-26,Löwen Frankfurt,51,Cody Brenner,3,False,True,58:47,86.36%,19
05122025_grizzlys-wolfsburg_gg_loewen-frankfurt_4116,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,,False,False,,,
06012026_augsburger-panther_gg_iserlohn-roosters_4196,2025-26,Augsburger Panther,34,Michael Garteig,2,False,True,65:00,93.10%,27
06012026_augsburger-panther_gg_iserlohn-roosters_4196,2025-26,Augsburger Panther,41,Peyton Jones,,False,False,,,
06012026_augsburger-panther_gg_iserlohn-roosters_4196,2025-26,Iserlohn Roosters,32,Hendrik Hane,2,False,True,65:00,92.00%,23
06012026_augsburger-panther_gg_iserlohn-roosters_4196,2025-26,Iserlohn Roosters,92,Andreas Jenike,,False,False,,,
06012026_dresdner-eisloewen_gg_pinguins-bremerhaven_4195,2025-26,Dresdner Eislöwen,62,Janick Schwendener,3,False,True,58:17,84.21%,16
06012026_dresdner-eisloewen_gg_pinguins-bremerhaven_4195,2025-26,Dresdner Eislöwen,55,Paul Stocker,,False,False,,,
06012026_dresdner-eisloewen_gg_pinguins-bremerhaven_4195,2025-26,Pinguins Bremerhaven,27,Leon Hungerecker,2,False,True,60:00,91.67%,22
06012026_dresdner-eisloewen_gg_pinguins-bremerhaven_4195,2025-26,Pinguins Bremerhaven,33,Julius Hudacek,,False,False,,,
06012026_dresdner-eisloewen_gg_pinguins-bremerhaven_4195,2025-26,Pinguins Bremerhaven,34,Christopher Strasen,,False,False,,,
06012026_erc-ingolstadt_gg_loewen-frankfurt_4197,2025-26,ERC Ingolstadt,36,Brett Brochu,3,False,True,60:00,89.66%,26
06012026_erc-ingolstadt_gg_loewen-frankfurt_4197,2025-26,ERC Ingolstadt,30,Bartholomäus Oswald,,False,False,,,
06012026_erc-ingolstadt_gg_loewen-frankfurt_4197,2025-26,Löwen Frankfurt,47,Dustin Tokarski,6,False,True,60:00,81.82%,27
06012026_erc-ingolstadt_gg_loewen-frankfurt_4197,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,,False,False,,,
06032026_augsburger-panther_gg_dresdner-eisloewen_4279,2025-26,Augsburger Panther,34,Michael Garteig,3,False,True,60:00,88.00%,22
06032026_augsburger-panther_gg_dresdner-eisloewen_4279,2025-26,Augsburger Panther,41,Peyton Jones,,False,False,,,
06032026_augsburger-panther_gg_dresdner-eisloewen_4279,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,6,False,True,60:00,81.25%,26
06032026_augsburger-panther_gg_dresdner-eisloewen_4279,2025-26,Dresdner Eislöwen,62,Janick Schwendener,,False,False,,,
06032026_loewen-frankfurt_gg_iserlohn-roosters_4277,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,5,False,True,60:13,80.77%,21
06032026_loewen-frankfurt_gg_iserlohn-roosters_4277,2025-26,Löwen Frankfurt,74,Rodion Schumacher,,False,False,,,
06032026_loewen-frankfurt_gg_iserlohn-roosters_4277,2025-26,Iserlohn Roosters,32,Hendrik Hane,4,False,True,60:13,77.78%,14
06032026_loewen-frankfurt_gg_iserlohn-roosters_4277,2025-26,Iserlohn Roosters,92,Andreas Jenike,,False,False,,,
07122025_adler-mannheim_gg_augsburger-panther_4121,2025-26,Adler Mannheim,33,Johan Christer Mattsson,0,False,True,60:00,100.00%,19
07122025_adler-mannheim_gg_augsburger-panther_4121,2025-26,Adler Mannheim,56,Maximilian Franzreb,,False,False,,,
07122025_adler-mannheim_gg_augsburger-panther_4121,2025-26,Augsburger Panther,41,Peyton Jones,7,False,True,60:00,72.00%,18
07122025_adler-mannheim_gg_augsburger-panther_4121,2025-26,Augsburger Panther,31,Lasse Dietzschold,,False,False,,,
07122025_eisbaeren-berlin_gg_dresdner-eisloewen_4119,2025-26,Eisbären Berlin,1,Jonas Stettmer,1,False,True,60:00,96.15%,25
07122025_eisbaeren-berlin_gg_dresdner-eisloewen_4119,2025-26,Eisbären Berlin,73,Lennart Neiße,,False,False,,,
07122025_eisbaeren-berlin_gg_dresdner-eisloewen_4119,2025-26,Dresdner Eislöwen,62,Janick Schwendener,5,False,True,60:00,82.76%,24
07122025_eisbaeren-berlin_gg_dresdner-eisloewen_4119,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,,False,False,,,
07122025_eisbaeren-berlin_gg_dresdner-eisloewen_4119,2025-26,Dresdner Eislöwen,55,Paul Stocker,,False,False,,,
07122025_iserlohn-roosters_gg_straubing-tigers_4122,2025-26,Iserlohn Roosters,92,Andreas Jenike,0,False,True,60:00,100.00%,36
07122025_iserlohn-roosters_gg_straubing-tigers_4122,2025-26,Iserlohn Roosters,32,Hendrik Hane,,False,False,,,
07122025_iserlohn-roosters_gg_straubing-tigers_4122,2025-26,Straubing Tigers,1,Florian Bugl,4,False,True,60:00,84.00%,21
07122025_iserlohn-roosters_gg_straubing-tigers_4122,2025-26,Straubing Tigers,40,Henrik Haukeland,,False,False,,,
07122025_iserlohn-roosters_gg_straubing-tigers_4122,2025-26,Straubing Tigers,21,Sebastian Wieber,,False,False,,,
07122025_loewen-frankfurt_gg_ehc-red-bull-muenchen_4120,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,5,False,True,60:00,83.33%,25
07122025_loewen-frankfurt_gg_ehc-red-bull-muenchen_4120,2025-26,Löwen Frankfurt,51,Cody Brenner,,False,False,,,
07122025_loewen-frankfurt_gg_ehc-red-bull-muenchen_4120,2025-26,EHC Red Bull München,30,Antoine Bibeau,0,False,True,60:00,100.00%,21
07122025_loewen-frankfurt_gg_ehc-red-bull-muenchen_4120,2025-26,EHC Red Bull München,25,Simon Wolf,,False,False,,,
08012026_iserlohn-roosters_gg_eisbaeren-berlin_4201,2025-26,Iserlohn Roosters,92,Andreas Jenike,3,False,False,60:00,92.31%,36
08012026_iserlohn-roosters_gg_eisbaeren-berlin_4201,2025-26,Iserlohn Roosters,32,Hendrik Hane,,False,False,,,
08012026_iserlohn-roosters_gg_eisbaeren-berlin_4201,2025-26,Eisbären Berlin,1,Jonas Stettmer,4,False,True,58:58,77.78%,14
08012026_iserlohn-roosters_gg_eisbaeren-berlin_4201,2025-26,Eisbären Berlin,73,Lennart Neiße,,False,False,,,
08032026_dresdner-eisloewen_gg_straubing-tigers_4289,2025-26,Dresdner Eislöwen,62,Janick Schwendener,5,False,True,58:54,84.85%,28
08032026_dresdner-eisloewen_gg_straubing-tigers_4289,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,,False,False,,,
08032026_dresdner-eisloewen_gg_straubing-tigers_4289,2025-26,Straubing Tigers,1,Florian Bugl,3,False,True,60:00,88.46%,23
08032026_dresdner-eisloewen_gg_straubing-tigers_4289,2025-26,Straubing Tigers,40,Henrik Haukeland,,False,False,,,
08032026_dresdner-eisloewen_gg_straubing-tigers_4289,2025-26,Straubing Tigers,21,Sebastian Wieber,,False,False,,,
08032026_ehc-red-bull-muenchen_gg_loewen-frankfurt_4288,2025-26,EHC Red Bull München,30,Antoine Bibeau,2,False,True,61:30,92.59%,25
08032026_ehc-red-bull-muenchen_gg_loewen-frankfurt_4288,2025-26,EHC Red Bull München,25,Simon Wolf,,False,False,,,
08032026_ehc-red-bull-muenchen_gg_loewen-frankfurt_4288,2025-26,EHC Red Bull München,32,Matthias Bittner,,False,False,,,
