player,team,goals,assists,points,penalties,pim
Magosi Balint,Hydro Fehervar AV 19,1,3,4,4,8
Reiner Paul,Moser Medical Graz99ers,1,3,4,1,2
Wolf Raphael,Vienna Capitals,0,4,4,11,52
Rönni Topi,FTC-Telekom,0,4,4,2,4
Dobnig Jonas,HC TIWAG Innsbruck - Die Haie,3,0,3,2,6
Tialler Christoph,Steinbach Black Wings Linz,2,1,3,6,12
Lippitsch Jakob,Moser Medical Graz99ers,2,1,3,1,2
Horvath Milan,FTC-Telekom,1,2,3,8,18
Crnovic Aljosa,Olimpija Ljubljana,1,2,3,8,16
Nagy Krisztián,FTC-Telekom,1,2,3,7,16
McNeill Reid,Olimpija Ljubljana,1,2,3,2,14
Ritchie Brett,EC iDM Wärmepumpen VSV,1,2,3,2,4
Krygier Cole,EC Red Bull Salzburg,1,2,3,0,0
Kiss Roland,Hydro Fehervar AV 19,0,3,3,15,42
Mader Thomas,HC TIWAG Innsbruck - Die Haie,0,3,3,14,35
Kerber Noah,HC TIWAG Innsbruck - Die Haie,0,3,3,10,22
Stapelfeldt Paul,Moser Medical Graz99ers,0,3,3,8,20
Cosic Jan,Olimpija Ljubljana,0,3,3,6,17
Lebeda Yannik,Pioneers Vorarlberg,0,3,3,3,6
Predan Aljaz,Steinbach Black Wings Linz,0,3,3,2,4
Cannata Joe,EC iDM Wärmepumpen VSV,0,3,3,1,2
Simovic Filip,EC-KAC,2,0,2,1,2
Böhm Mathias,Pioneers Vorarlberg,2,0,2,0,0
Preiser Armin,Vienna Capitals,1,1,2,5,13
Stöffler Elias,HC TIWAG Innsbruck - Die Haie,1,1,2,6,12
Richter Marco,Vienna Capitals,1,1,2,2,9
Ytterell Alexander,FTC-Telekom,1,1,2,2,6
Green Luke,FTC-Telekom,1,1,2,1,2
Kumanovic Lovro,Olimpija Ljubljana,1,1,2,1,2
Zach-Kiesling Lukas,Vienna Capitals,1,1,2,0,0
Galajda Zsombor,FTC-Telekom,0,2,2,5,33
Lindner Lorenz,Vienna Capitals,0,2,2,8,19
Frimmel Winston,HC TIWAG Innsbruck - Die Haie,0,2,2,5,10
Caffi Alex,Pioneers Vorarlberg,0,2,2,1,2
Horák Lukáš,Olimpija Ljubljana,0,2,2,1,2
Dahm Sebastian,EC-KAC,0,2,2,0,0
Prodinger Dominik,EC iDM Wärmepumpen VSV,0,2,2,0,0
Erne Luca,EC iDM Wärmepumpen VSV,1,0,1,8,16
Woborsky Leo,Pioneers Vorarlberg,1,0,1,3,6
Tóth Richard,FTC-Telekom,1,0,1,2,4
Wempe Laurin,Pioneers Vorarlberg,1,0,1,2,4
Duquette Marc-Olivier,Vienna Capitals,1,0,1,1,2
Eder Paul,Steinbach Black Wings Linz,1,0,1,1,2
Harnisch Tim,Moser Medical Graz99ers,1,0,1,1,2
Hochkofler Peter,EC Red Bull Salzburg,1,0,1,1,2
Gesson Adrian,EC Red Bull Salzburg,1,0,1,0,0
Witting Marcel,EC-KAC,1,0,1,0,0
Stajnoch Martin,Hydro Fehervar AV 19,0,1,1,7,16
Bohinc Rozle,Olimpija Ljubljana,0,1,1,5,10
Kernberger Michael,EC iDM Wärmepumpen VSV,0,1,1,2,4
Pasquale Edward Robert Nito,HC Falkensteiner Pustertal,0,1,1,2,4
Raspotnig Julian,EC iDM Wärmepumpen VSV,0,1,1,2,4
Kernberger Michael,Steinbach Black Wings Linz,0,1,1,1,2
Larcher Enrico,HCB Südtirol Alperia,0,1,1,1,2
Vallini Gianluca,HCB Südtirol Alperia,0,1,1,1,2
Wukovits Ali,EC Red Bull Salzburg,0,1,1,1,2
Ambrus Csongor,Hydro Fehervar AV 19,0,1,1,0,0
Braun Lennart,Moser Medical Graz99ers,0,1,1,0,0
Harvey Samuel,HCB Südtirol Alperia,0,1,1,0,0
