game_id,season_id,date,home_team,away_team,score,round,venue,spectators,away_pim,away_pp_pct,away_pp_time,away_save_pct,away_saves,away_score,away_shots,away_team_short,home_pim,home_pp_pct,home_pp_time,home_save_pct,home_saves,home_score,home_shots,home_team_short,periods,periods_detail
1004447,18263,2025-10-04 15:15,Rögle BK,Örebro HK,5-3,,Catena Arena,6310,10,"0,00%",07:50,"15,00",32,3,20,ÖHK,10,"25,00%",06:23,"13,51",17,5,37,RBK,"(1-2, 1-0, 3-1)","1-2, 1-0, 3-1"
1004443,18263,2025-10-04 18:00,Växjö Lakers HC,Skellefteå AIK,2-5,,Vida Arena,5477,4,"75,00%",04:02,"20,83",14,5,24,SKE,8,"0,00%",04:00,"12,50",19,2,16,VÄX,"(0-1, 0-1, 2-3)","0-1, 0-1, 2-3"
1004445,18263,2025-10-04 18:00,Färjestad BK,Brynäs IF,1-2,,Löfbergs Arena,8250,6,"100,00%",00:59,"6,45",13,2,31,BIF,24,"0,00%",04:04,"7,14",29,1,14,FBK,"(0-1, 1-1, 0-0)","0-1, 1-1, 0-0"
1004449,18263,2025-10-04 18:00,Timrå IK,Luleå HF,2-1,,SCA Arena,5177,6,"50,00%",03:10,"7,14",19,1,14,LHF,4,"33,33%",05:27,"9,52",13,2,21,TIK,"(1-0, 0-1, 1-0)","1-0, 0-1, 1-0"
1004456,18263,2025-10-09 19:00,Brynäs IF,Skellefteå AIK,0-1,,Monitor ERP Arena,7289,4,"0,00%",02:00,"5,88",24,1,17,SKE,2,"0,00%",04:00,"0,00",16,0,24,BIF,"(0-1, 0-0, 0-0)","0-1, 0-0, 0-0"
1004457,18263,2025-10-09 19:00,Leksands IF,Linköping HC,1-3,,Tegera Arena,5432,4,"33,33%",04:28,"12,00",26,3,25,LHC,6,"0,00%",04:00,"3,70",22,1,27,LIF,"(0-0, 0-2, 1-1)","0-0, 0-2, 1-1"
1004461,18263,2025-10-09 19:00,LHF,HV71,3-2,,Coop Norrbotten Arena,6150,10,"33,33%",05:20,"13,33",32,2,15,HV71,10,"25,00%",04:51,"8,57",13,3,35,LHF,"(2-0, 0-2, 0-0, 0-0, 1-0)","2-0, 0-2, 0-0, 0-0, 1-0"
1004464,18263,2025-10-09 19:00,IF Malmö Redhawks,Frölunda HC,1-6,,Malmö Arena,6172,8,"66,67%",03:00,"18,75",24,6,32,FRÖ,6,"25,00%",06:55,"4,00",26,1,25,MIF,"(0-0, 1-2, 0-4)","0-0, 1-2, 0-4"
1004466,18263,2025-10-09 19:00,Örebro HK,Timrå IK,5-3,,Behrn Arena,5046,6,"33,33%",05:51,"10,34",18,3,29,TIK,6,"33,33%",04:06,"21,74",26,5,23,ÖHK,"(2-1, 2-0, 1-2)","2-1, 2-0, 1-2"
1004467,18263,2025-10-09 19:00,Rögle BK,Växjö Lakers HC,5-3,,Catena Arena,6204,14,"66,67%",05:07,"13,04",34,3,23,VÄX,29,"33,33%",09:32,"12,82",20,5,39,RBK,"(1-0, 1-2, 3-1)","1-0, 1-2, 3-1"
