team,player,goals,assists,points,penalties,pim
TIK,"Forsmark, Simon",3.0,11.0,14.0,3.0,6.0
DIF,"Salsten, Håvard",7.0,6.0,13.0,7.0,35.0
DIF,"Blomgren, David",6.0,7.0,13.0,6.0,12.0
SKE,"Stjernborg, Victor",6.0,7.0,13.0,4.0,8.0
BIF,"Kopacka, Jack",6.0,7.0,13.0,1.0,2.0
ÖHK,"Wikman, William",5.0,8.0,13.0,3.0,6.0
LIF,"Kaderli, Andro",4.0,9.0,13.0,17.0,76.0
ÖHK,"Arnesson, Linus",4.0,9.0,13.0,8.0,16.0
SKE,"Davidsson, Jonathan",4.0,9.0,13.0,6.0,12.0
FRÖ,"Nilsson, Tom",3.0,10.0,13.0,9.0,18.0
HV,"Pasic, Nikola",3.0,10.0,13.0,5.0,10.0
SKE,"Krogdahl, Max",2.0,11.0,13.0,25.0,71.0
VÄX,"Lowe, Keegan",2.0,11.0,13.0,25.0,68.0
SKE,"Djuse, Emil",1.0,12.0,13.0,7.0,35.0
FBK,"Ollas Mattsson, Adam",1.0,12.0,13.0,11.0,22.0
VÄX,"Gustafsson, Hugo",7.0,5.0,12.0,1.0,2.0
FBK,"Forsell, Lucas",6.0,6.0,12.0,11.0,22.0
VÄX,"Strandberg, Sebastian",5.0,7.0,12.0,4.0,8.0
LHC,"Nybeck, Zion",5.0,7.0,12.0,3.0,6.0
TIK,"Wedin, Anton",5.0,7.0,12.0,1.0,2.0
MIF,"Berg Paulsen, Thomas",4.0,8.0,12.0,7.0,14.0
VÄX,"Cooper, Brian",2.0,10.0,12.0,20.0,79.0
LHC,"Fantenberg, Oscar",2.0,10.0,12.0,1.0,20.0
TIK,"Freij, Alfons",6.0,5.0,11.0,7.0,14.0
LIF,"Östman, Kalle",6.0,5.0,11.0,7.0,14.0
LHF,"O'neil, Brian",6.0,5.0,11.0,1.0,2.0
MIF,"Von Barnekow, William",5.0,6.0,11.0,6.0,12.0
LIF,"Caito, Matt",4.0,7.0,11.0,15.0,30.0
TIK,"Nässén, Linus",4.0,7.0,11.0,4.0,8.0
LHF,"Leskinen, Otto",3.0,8.0,11.0,8.0,16.0
FBK,"Jansson, Christoffer",3.0,8.0,11.0,5.0,10.0
FRÖ,"Heens, Isac",1.0,10.0,11.0,6.0,12.0
HV,"Tedenby, Mattias",8.0,2.0,10.0,7.0,14.0
HV,"Stål-Lyrenäs, Oskar",7.0,3.0,10.0,2.0,4.0
LHC,"Södergran, Johan",5.0,5.0,10.0,4.0,8.0
LIF,"Lundqvist, Alexander",4.0,6.0,10.0,7.0,32.0
LIF,"Lyytinen, Joonas",4.0,6.0,10.0,13.0,26.0
MIF,"Ikonen, Joona",4.0,6.0,10.0,7.0,14.0
FBK,"Alba, Emil",3.0,7.0,10.0,7.0,35.0
HV,"Borgman, Andreas",3.0,7.0,10.0,16.0,32.0
DIF,"Pettersson, Jesper",3.0,7.0,10.0,16.0,32.0
SKE,"Forsfjäll, Zeb",3.0,7.0,10.0,6.0,12.0
DIF,"Palve, Oula",3.0,7.0,10.0,6.0,12.0
BIF,"Vesel, Tyler",3.0,7.0,10.0,3.0,6.0
MIF,"Nilsson, Isac",3.0,7.0,10.0,0.0,0.0
ÖHK,"Berglund, Filip",2.0,8.0,10.0,14.0,28.0
VÄX,"Granberg, Petter",1.0,9.0,10.0,12.0,24.0
ÖHK,"Seppälä, Peetro",1.0,9.0,10.0,7.0,14.0
VÄX,"Kratz, Kalle",6.0,3.0,9.0,3.0,9.0
ÖHK,"Gustafsson, Glenn",4.0,5.0,9.0,10.0,20.0
TIK,"Sundin, Albin",4.0,5.0,9.0,10.0,20.0
ÖHK,"Backström, Gustav",4.0,5.0,9.0,8.0,16.0
HV,"Luoto, Joona",4.0,5.0,9.0,6.0,12.0
LIF,"Eljas, Arvid",3.0,6.0,9.0,8.0,16.0
FBK,"Carlsson, Gabriel",2.0,7.0,9.0,16.0,32.0
TIK,"Levinsson, Ludvig",2.0,7.0,9.0,5.0,10.0
HV,"Hatakka, Santeri",1.0,8.0,9.0,13.0,26.0
LHC,"Rissanen, Rasmus",1.0,8.0,9.0,12.0,24.0
HV,"Alsing, Olle",1.0,8.0,9.0,6.0,12.0
RBK,"Zether, Simon",1.0,8.0,9.0,6.0,12.0
ÖHK,"Malone, Sean",1.0,8.0,9.0,4.0,8.0
RBK,"Solberg, Isac",6.0,2.0,8.0,3.0,6.0
VÄX,"Nilsson, Ludvig",4.0,4.0,8.0,8.0,16.0
HV,"Lagerberg, Lucas",4.0,4.0,8.0,7.0,14.0
SKE,"Vuollet, Oskar",4.0,4.0,8.0,3.0,6.0
ÖHK,"Ylönen, Jesse",4.0,4.0,8.0,1.0,2.0
RBK,"Sjödin, Linus",3.0,5.0,8.0,3.0,6.0
DIF,"Kylington, Oliver",2.0,6.0,8.0,5.0,10.0
RBK,"Göransson, Mattias",0.0,8.0,8.0,5.0,10.0
BIF,"Scott, Greg",4.0,3.0,7.0,5.0,10.0
SKE,"Haara, Frans",3.0,4.0,7.0,2.0,4.0
LHF,"Liedes, Heikki",2.0,5.0,7.0,13.0,26.0
TIK,"Eriksson, Linus",2.0,5.0,7.0,6.0,12.0
TIK,"Lilja, David",2.0,5.0,7.0,4.0,8.0
TIK,"Svensson, Per",2.0,5.0,7.0,4.0,8.0
LIF,"Nilsson, Fred",1.0,6.0,7.0,3.0,6.0
LHC,"Lennström, Theodor",0.0,7.0,7.0,10.0,62.0
LHC,"Kokkonen, Mikko",0.0,7.0,7.0,3.0,6.0
LHC,"Rattie, Ty",5.0,1.0,6.0,4.0,11.0
TIK,"Westfält, Marcus",4.0,2.0,6.0,7.0,14.0
LIF,"Karlberg, Marcus",4.0,2.0,6.0,6.0,12.0
LHF,"Juustovaara Karlsson, Casper",4.0,2.0,6.0,3.0,6.0
ÖHK,"Ranta, Sampo",3.0,3.0,6.0,5.0,10.0
VÄX,"Anderberg, Morgan",3.0,3.0,6.0,1.0,2.0
DIF,"Ylönen, Jesse",2.0,4.0,6.0,6.0,33.0
DIF,"Grewe, Albin",2.0,4.0,6.0,13.0,29.0
LHC,"Myrenberg, Jonathan",2.0,4.0,6.0,5.0,10.0
HV,"Johnsen, Martin",2.0,4.0,6.0,4.0,8.0
VÄX,"Svensson, Ville",2.0,4.0,6.0,3.0,6.0
FRÖ,"Folin, Christian",1.0,5.0,6.0,9.0,18.0
LIF,"Nilsson, Wiktor",1.0,5.0,6.0,5.0,10.0
VÄX,"Andersson, Erik",1.0,5.0,6.0,2.0,4.0
LHF,"Själin, Pontus",0.0,6.0,6.0,8.0,37.0
VÄX,"Rosén, Elias",0.0,6.0,6.0,2.0,4.0
LIF,"Knuts, Jon",4.0,1.0,5.0,2.0,4.0
HV,"Ignberg Nilsson, William",3.0,2.0,5.0,8.0,16.0
MIF,"Björkman, Filip",3.0,2.0,5.0,7.0,14.0
DIF,"Rensfeldt, Ludvig",3.0,2.0,5.0,4.0,8.0
FBK,"Wikman, Albert",3.0,2.0,5.0,3.0,6.0
TIK,"Lundmark, Anton",2.0,3.0,5.0,1.0,2.0
LIF,"Milosevic, Stefan",1.0,4.0,5.0,7.0,35.0
LHF,"Granberg, David",1.0,4.0,5.0,2.0,4.0
LHC,"Elie, Remi",4.0,0.0,4.0,2.0,4.0
ÖHK,"Fernström, Melvin",3.0,1.0,4.0,3.0,6.0
LHC,"Johansson, Oliver",2.0,2.0,4.0,6.0,12.0
HV,"Eriksson, Hampus",2.0,2.0,4.0,5.0,10.0
HV,"Lindström, Linus",2.0,2.0,4.0,4.0,8.0
FBK,"Knot, Ronald",2.0,2.0,4.0,3.0,6.0
FRÖ,"Johannesson, Samuel",2.0,2.0,4.0,2.0,4.0
ÖHK,"Miketinac, Kalle",2.0,2.0,4.0,0.0,0.0
DIF,"Pulli, Valtteri",1.0,3.0,4.0,3.0,6.0
LIF,"Crookes, Zaki",1.0,3.0,4.0,2.0,4.0
