player,team,goals,assists,penalties,pim,points
KORENČIK Marek,Vlci Žilina,6.0,8.0,0.0,0.0,14.0
STACHA Marko,HK Nitra,6.0,8.0,0.0,0.0,14.0
KYTNÁR Milan,HK Dukla Michalovce,5.0,9.0,0.0,0.0,14.0
FEKIAČ Viktor,HKM Zvolen,3.0,11.0,0.0,0.0,14.0
LALÍK Lukáš,HK 32 Liptovský Mikuláš,3.0,11.0,0.0,0.0,14.0
ŠTEVULIAK Patrik,HK Spišská Nová Ves,3.0,11.0,0.0,0.0,14.0
MACDOUGALL Ross Patrick,HC Prešov,2.0,12.0,0.0,0.0,14.0
TURANSKÝ Artur,HK Spišská Nová Ves,2.0,12.0,0.0,0.0,14.0
DURANDEAU Arnaud,HKM Zvolen,8.0,5.0,0.0,0.0,13.0
HUDEC Denis,HK Dukla Trenčín,7.0,6.0,0.0,0.0,13.0
LUNTER Lukáš,HKM Zvolen,6.0,7.0,0.0,0.0,13.0
BUKARTS Rihards,HC Prešov,5.0,8.0,0.0,0.0,13.0
KRAJČOVIČ Andrej,HK Dukla Trenčín,5.0,8.0,0.0,0.0,13.0
LAWRENCE Joshua,HK Nitra,5.0,8.0,0.0,0.0,13.0
UHRÍK Michal,HK 32 Liptovský Mikuláš,5.0,8.0,0.0,0.0,13.0
ŠMÍDA Sebastián,HK Dukla Michalovce,5.0,8.0,0.0,0.0,13.0
KRAJČ Samuel,HK Dukla Trenčín,4.0,9.0,0.0,0.0,13.0
LICHANEC Peter,HK Dukla Michalovce,4.0,9.0,0.0,0.0,13.0
GRON Stanislav,HC MONACObet B.Bystrica,3.0,10.0,0.0,0.0,13.0
ROMAŇÁK Dávid,HK Spišská Nová Ves,3.0,10.0,0.0,0.0,13.0
MARCINKO Ján,HK Dukla Michalovce,2.0,11.0,0.0,0.0,13.0
ČESÁNEK Boris,HC MONACObet B.Bystrica,2.0,11.0,0.0,0.0,13.0
MICHALČIN Christián,HC MONACObet B.Bystrica,1.0,12.0,0.0,0.0,13.0
MICHNÁČ Albert,HK Dukla Michalovce,4.0,8.0,0.0,0.0,12.0
HAIN Gavin Ross,HK Spišská Nová Ves,8.0,3.0,0.0,0.0,11.0
KABÁČ Michal,HC MONACObet B.Bystrica,8.0,3.0,0.0,0.0,11.0
VARGA Adam Brandon,HK Dukla Michalovce,8.0,3.0,0.0,0.0,11.0
JENDEK Dominik,Slovan Bratislava,6.0,5.0,0.0,0.0,11.0
PLOKHOTNIK Oleksandr,HC Košice,5.0,6.0,0.0,0.0,11.0
ŠIMUN Eduard,Slovan Bratislava,5.0,6.0,0.0,0.0,11.0
FEJES Samuel Hunter,HC Prešov,4.0,7.0,0.0,0.0,11.0
GOLJER Adam,HK Dukla Trenčín,4.0,7.0,0.0,0.0,11.0
GIĽÁK Matej,HC Prešov,3.0,8.0,0.0,0.0,11.0
MALINA Ľubomír,HK Poprad,3.0,8.0,0.0,0.0,11.0
VITALOŠ Martin,HK Nitra,3.0,8.0,0.0,0.0,11.0
FAIRBROTHER Gianni Duke Signorelli,HKM Zvolen,2.0,9.0,0.0,0.0,11.0
VITOLINŠ Raimonds Mikus,HK Dukla Trenčín,2.0,9.0,0.0,0.0,11.0
WESLEY Joshua Jared,HKM Zvolen,2.0,9.0,0.0,0.0,11.0
FERENC Jakub,HC Košice,1.0,10.0,0.0,0.0,11.0
KUBKA Branislav,HK Dukla Michalovce,1.0,10.0,0.0,0.0,11.0
MIKUŠ Juraj,HK Dukla Trenčín,0.0,11.0,0.0,0.0,11.0
CHALUPA Samuel,HC Prešov,5.0,5.0,0.0,0.0,10.0
JASENEC Michal,HC MONACObet B.Bystrica,4.0,6.0,0.0,0.0,10.0
HOLENDA Matúš,Vlci Žilina,3.0,7.0,0.0,0.0,10.0
BAČIK Patrik,Slovan Bratislava,2.0,8.0,0.0,0.0,10.0
SVITANA Patrik,HK Dukla Michalovce,2.0,8.0,0.0,0.0,10.0
NEMČÍK Martin,HK Poprad,1.0,9.0,0.0,0.0,10.0
PALOČKO Matej,HK Spišská Nová Ves,6.0,3.0,0.0,0.0,9.0
BARTÁNUS Marek,HK Dukla Michalovce,5.0,4.0,0.0,0.0,9.0
DEJ Rastislav,Vlci Žilina,3.0,6.0,0.0,0.0,9.0
PETRISKA Ján,Slovan Bratislava,3.0,6.0,0.0,0.0,9.0
TYCHONICK Jonathan Kerry Brian,HK Spišská Nová Ves,3.0,6.0,0.0,0.0,9.0
CORMIER Tommy,HC Prešov,2.0,7.0,0.0,0.0,9.0
JOKEĽ Oliver,HC Prešov,2.0,7.0,0.0,0.0,9.0
BAPTISTE Nicholas Robert,HK Dukla Trenčín,1.0,8.0,0.0,0.0,9.0
BAČO Róbert,HC Prešov,5.0,3.0,0.0,0.0,8.0
DUBRAVÍK Jakub,Vlci Žilina,5.0,3.0,0.0,0.0,8.0
MATTA Ivan,HK Dukla Michalovce,4.0,4.0,0.0,0.0,8.0
MESSNER Mick Garett,HC MONACObet B.Bystrica,4.0,4.0,0.0,0.0,8.0
BRINCKO Boris,HC Prešov,2.0,6.0,0.0,0.0,8.0
TROOCK Branden Curtis,HKM Zvolen,2.0,6.0,0.0,0.0,8.0
BINDULIS Kristofers,HK Dukla Michalovce,1.0,7.0,0.0,0.0,8.0
