match_id,date,round,venue,attendance,home_team,away_team,score,home_goals,away_goals,periods,goal_count,penalty_count,goalie_change_count,unclassified_event_count,url,error
153224,,,,,Hokejový klub Poprad a.s.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",2 : 1 pp,2,1,0:0 | 1:1 | 0:0 | 1:0,3,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153224/Overview,
153225,,,,,Presov Hockey a.s.,Hokejový klub Dukla Ingema Michalovce,4 : 3,4,3,2:1 | 1:1 | 1:1,7,18,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153225/Overview,
153226,,,,,"HK Rysy, s.r.o.",HC Košice s.r.o.,2 : 1 pp,2,1,0:0 | 0:1 | 1:0 | 1:0,3,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153226/Overview,
153227,,,,,"HK Rysy, s.r.o.",Hokejový klub Dukla Ingema Michalovce,1 : 2,1,2,1:0 | 0:2 | 0:0,3,5,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153227/Overview,
153228,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",HKM a.s,2 : 1 pp,2,1,0:0 | 1:1 | 0:0 | 1:0,3,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153228/Overview,
153229,,,,,"HK Rysy, s.r.o.",Hokejový klub Dukla Ingema Michalovce,5 : 0,5,0,1:0 | 0:0 | 4:0,5,16,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153229/Overview,
153230,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",HKM a.s,5 : 0,5,0,2:0 | 1:0 | 2:0,6,15,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153230/Overview,
153231,,,,,Hokejový klub Dukla Ingema Michalovce,"HK Rysy, s.r.o.",3 : 2,3,2,2:0 | 1:1 | 0:1,5,14,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153231/Overview,
153232,,,,,HKM a.s,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",5 : 1,5,1,1:0 | 1:1 | 3:0,6,11,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153232/Overview,
153233,,,,,Hokejový klub Dukla Ingema Michalovce,"HK Rysy, s.r.o.",7 : 1,7,1,1:0 | 4:1 | 2:0,8,27,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153233/Overview,
153234,,,,,HKM a.s,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",0 : 3,0,3,0:1 | 0:1 | 0:1,3,6,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153234/Overview,
153237,,,,,HC Košice s.r.o.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",3 : 2 pp,3,2,0:1 | 0:0 | 2:1 | 1:0,5,9,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153237/Overview,
153238,,,,,"VLCI ŽILINA, a.s.",Hokejový klub Poprad a.s.,3 : 0,3,0,0:0 | 0:0 | 3:0,3,5,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153238/Overview,
153239,,,,,"HK Nitra, s.r.o.",Hokejový klub Dukla Ingema Michalovce,4 : 3 pp,4,3,0:0 | 3:2 | 0:1 | 1:0,7,13,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153239/Overview,
153240,,,,,"HC SLOVAN Bratislava, a.s.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 0,3,0,1:0 | 0:0 | 2:0,3,6,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153240/Overview,
153241,,,,,HC Košice s.r.o.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",3 : 4 pp,3,4,1:1 | 2:0 | 0:2 | 0:1,7,5,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153241/Overview,
153242,,,,,"VLCI ŽILINA, a.s.",Hokejový klub Poprad a.s.,4 : 1,4,1,1:1 | 2:0 | 1:0,5,29,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153242/Overview,
153243,,,,,"HK Nitra, s.r.o.",Hokejový klub Dukla Ingema Michalovce,2 : 3 pp,2,3,0:0 | 1:1 | 1:1 | 0:1,5,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153243/Overview,
153244,,,,,"HC SLOVAN Bratislava, a.s.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 2,3,2,0:1 | 1:0 | 2:1,5,15,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153244/Overview,
