player,team,goals,assists,points,penalties,pim
Roger Karrer,Genève-Servette HC,3,7,10,14,28
Victor Rask,SC Rapperswil-Jona Lakers,3,7,10,2,4
Tanner Fritz,SC Rapperswil-Jona Lakers,2,8,10,5,12
Samuel Erni,SCL Tigers,1,9,10,9,18
Benoit Jecker,Fribourg-Gottéron,1,9,10,3,6
Mats Alge,SC Bern,7,2,9,2,4
Inti Pestoni,HC Ambri-Piotta,4,5,9,6,12
Frédérik Gauthier,HC Ajoie,4,5,9,4,8
Ramon Tanner,HC Lugano,3,6,9,8,20
Rafael Meier,EHC Kloten,3,6,9,4,10
Ty Rattie,Fribourg-Gottéron,3,6,9,1,2
Fabian Heldner,Lausanne HC,2,7,9,6,35
Lukas Klok,EHC Kloten,2,7,9,4,10
Christian Marti,ZSC Lions,1,8,9,11,22
Philippe Maillet,SCRJ Lakers,1,8,9,3,6
Matteo Romanenghi,HC Ajoie,1,8,9,1,4
Gian-Marco Wetter,SC Rapperswil-Jona Lakers,5,3,8,1,2
Nicklas Jensen,SCRJ Lakers,4,4,8,5,14
Oskars Lapinskis,SCL Tigers,4,4,8,5,10
Malte Strömwall,SC Rapperswil-Jona Lakers,4,4,8,2,4
Lino Martschini,EV Zug,4,4,8,1,2
Jeremi Gerber,Fribourg-Gottéron,3,5,8,4,31
Noah Delémont,EHC Kloten,3,5,8,6,14
Igor Jelovac,SCRJ Lakers,2,6,8,16,123
Alessio Bertaggia,HC Lugano,2,6,8,6,14
Deniss Smirnovs,EHC Kloten,2,6,8,2,4
Marco Zanetti,HC Lugano,2,6,8,2,4
Marco Pedretti,HC Ajoie,1,7,8,10,22
Brian Zanetti,HC Lugano,1,7,8,6,12
Raphael Diaz,EV Zug,1,7,8,5,12
Dario Wüthrich,HC Ambri-Piotta,1,7,8,5,10
Raphael Prassl,Lausanne HC,0,8,8,4,8
Livio Stadler,EV Zug,0,8,8,1,2
Alain Graf,SC Bern,6,1,7,4,8
Luc Bachmann,HC Ambri-Piotta,5,2,7,4,8
Matthew Kellenberger,SCRJ Lakers,4,3,7,3,6
Dominic Lammer,SC Rapperswil-Jona Lakers,4,3,7,1,2
Elia Riva,EV Zug,4,3,7,1,2
Reto Schäppi,EHC Kloten,3,4,7,13,30
Rico Gredig,HC Davos,3,4,7,8,16
Colin Lindemann,EV Zug,3,4,7,7,14
Cole Cormier,HC Ajoie,3,4,7,4,8
Yanick Stampfli,EHC Biel-Bienne,3,4,7,3,6
Jesper Peltonen,HC Lugano,2,5,7,6,37
Giancarlo Chanton,Genève-Servette HC,2,5,7,11,26
