season,round,round_index,team,elo
2025-26,R 24,24,Mountfield HK,1541.18
2025-26,R 24,24,Rytíři Kladno,1446.26
2025-26,R 24,24,Č. Budějovice,1521.91
2025-26,R 25,25,BK Mladá Boleslav,1466.15
2025-26,R 25,25,Bílí Tygři Liberec,1511.33
2025-26,R 25,25,HC Dynamo Pardubice,1532.56
2025-26,R 25,25,HC Energie Karlovy Vary,1472.25
2025-26,R 25,25,HC Kometa Brno,1496.44
2025-26,R 25,25,HC Oceláři Třinec,1584.88
2025-26,R 25,25,HC Olomouc,1517.66
2025-26,R 25,25,HC Sparta Praha,1500.77
2025-26,R 25,25,HC VERVA Litvínov,1376.75
2025-26,R 25,25,HC VÍTKOVICE RIDERA,1516.14
2025-26,R 25,25,HC Škoda Plzeň,1529.68
2025-26,R 25,25,Mountfield HK,1541.18
2025-26,R 25,25,Rytíři Kladno,1446.26
2025-26,R 25,25,Č. Budějovice,1507.94
2025-26,R 26,26,BK Mladá Boleslav,1459.44
2025-26,R 26,26,Bílí Tygři Liberec,1497.64
2025-26,R 26,26,HC Dynamo Pardubice,1532.56
2025-26,R 26,26,HC Energie Karlovy Vary,1483.06
2025-26,R 26,26,HC Kometa Brno,1510.96
2025-26,R 26,26,HC Oceláři Třinec,1591.59
2025-26,R 26,26,HC Olomouc,1505.64
2025-26,R 26,26,HC Sparta Praha,1489.95
2025-26,R 26,26,HC VERVA Litvínov,1390.44
2025-26,R 26,26,HC VÍTKOVICE RIDERA,1501.62
2025-26,R 26,26,HC Škoda Plzeň,1520.01
2025-26,R 26,26,Mountfield HK,1550.85
2025-26,R 26,26,Rytíři Kladno,1458.29
2025-26,R 26,26,Č. Budějovice,1507.94
2025-26,R 27,27,BK Mladá Boleslav,1450.65
2025-26,R 27,27,Bílí Tygři Liberec,1508.02
2025-26,R 27,27,HC Dynamo Pardubice,1521.79
2025-26,R 27,27,HC Energie Karlovy Vary,1494.99
2025-26,R 27,27,HC Kometa Brno,1500.57
2025-26,R 27,27,HC Oceláři Třinec,1599.56
2025-26,R 27,27,HC Olomouc,1516.41
2025-26,R 27,27,HC Sparta Praha,1497.16
2025-26,R 27,27,HC VERVA Litvínov,1383.23
2025-26,R 27,27,HC VÍTKOVICE RIDERA,1510.42
2025-26,R 27,27,HC Škoda Plzeň,1512.04
2025-26,R 27,27,Mountfield HK,1538.92
2025-26,R 27,27,Rytíři Kladno,1449.71
2025-26,R 27,27,Č. Budějovice,1516.52
2025-26,R 28,28,BK Mladá Boleslav,1461.92
2025-26,R 28,28,Bílí Tygři Liberec,1496.36
2025-26,R 28,28,HC Dynamo Pardubice,1510.54
2025-26,R 28,28,HC Energie Karlovy Vary,1483.72
2025-26,R 28,28,HC Kometa Brno,1491.67
2025-26,R 28,28,HC Oceláři Třinec,1609.78
2025-26,R 28,28,HC Olomouc,1502.76
2025-26,R 28,28,HC Sparta Praha,1497.16
2025-26,R 28,28,HC VERVA Litvínov,1396.89
2025-26,R 28,28,HC VÍTKOVICE RIDERA,1510.42
2025-26,R 28,28,HC Škoda Plzeň,1523.29
2025-26,R 28,28,Mountfield HK,1547.82
2025-26,R 28,28,Rytíři Kladno,1461.37
2025-26,R 28,28,Č. Budějovice,1506.29
2025-26,R 29,29,BK Mladá Boleslav,1461.92
2025-26,R 29,29,Bílí Tygři Liberec,1496.36
2025-26,R 29,29,HC Dynamo Pardubice,1510.54
2025-26,R 29,29,HC Energie Karlovy Vary,1483.72
2025-26,R 29,29,HC Kometa Brno,1491.67
2025-26,R 29,29,HC Oceláři Třinec,1609.78
2025-26,R 29,29,HC Olomouc,1502.76
2025-26,R 29,29,HC Sparta Praha,1511.47
2025-26,R 29,29,HC VERVA Litvínov,1396.89
2025-26,R 29,29,HC VÍTKOVICE RIDERA,1496.11
2025-26,R 29,29,HC Škoda Plzeň,1523.29
2025-26,R 29,29,Mountfield HK,1547.82
2025-26,R 29,29,Rytíři Kladno,1461.37
2025-26,R 29,29,Č. Budějovice,1506.29
2025-26,R 30,30,BK Mladá Boleslav,1470.07
2025-26,R 30,30,Bílí Tygři Liberec,1486.35
2025-26,R 30,30,HC Dynamo Pardubice,1525.61
2025-26,R 30,30,HC Energie Karlovy Vary,1474.37
2025-26,R 30,30,HC Kometa Brno,1482.58
2025-26,R 30,30,HC Oceláři Třinec,1593.92
2025-26,R 30,30,HC Olomouc,1489.29
2025-26,R 30,30,HC Sparta Praha,1524.93
2025-26,R 30,30,HC VERVA Litvínov,1388.74
2025-26,R 30,30,HC VÍTKOVICE RIDERA,1506.12
2025-26,R 30,30,HC Škoda Plzeň,1532.38
2025-26,R 30,30,Mountfield HK,1563.69
2025-26,R 30,30,Rytíři Kladno,1446.31
2025-26,R 30,30,Č. Budějovice,1515.64
2025-26,R 31,31,BK Mladá Boleslav,1461.03
2025-26,R 31,31,Bílí Tygři Liberec,1486.35
2025-26,R 31,31,HC Dynamo Pardubice,1538.33
2025-26,R 31,31,HC Energie Karlovy Vary,1474.37
2025-26,R 31,31,HC Kometa Brno,1493.53
2025-26,R 31,31,HC Oceláři Třinec,1581.2
2025-26,R 31,31,HC Olomouc,1499.78
2025-26,R 31,31,HC Sparta Praha,1533.97
2025-26,R 31,31,HC VERVA Litvínov,1383.29
2025-26,R 31,31,HC VÍTKOVICE RIDERA,1495.63
2025-26,R 31,31,HC Škoda Plzeň,1539.95
2025-26,R 31,31,Mountfield HK,1569.13
2025-26,R 31,31,Rytíři Kladno,1438.74
2025-26,R 31,31,Č. Budějovice,1504.69
2025-26,R 32,32,BK Mladá Boleslav,1461.03
2025-26,R 32,32,Bílí Tygři Liberec,1477.72
2025-26,R 32,32,HC Dynamo Pardubice,1538.33
2025-26,R 32,32,HC Energie Karlovy Vary,1474.37
2025-26,R 32,32,HC Kometa Brno,1493.53
2025-26,R 32,32,HC Oceláři Třinec,1581.2
2025-26,R 32,32,HC Olomouc,1499.78
2025-26,R 32,32,HC Sparta Praha,1542.61
2025-26,R 32,32,HC VERVA Litvínov,1383.29
2025-26,R 32,32,HC VÍTKOVICE RIDERA,1495.63
2025-26,R 32,32,HC Škoda Plzeň,1539.95
2025-26,R 32,32,Mountfield HK,1569.13
2025-26,R 32,32,Rytíři Kladno,1438.74
2025-26,R 32,32,Č. Budějovice,1504.69
2025-26,R 33,33,BK Mladá Boleslav,1461.03
2025-26,R 33,33,Bílí Tygři Liberec,1489.28
2025-26,R 33,33,HC Dynamo Pardubice,1538.33
2025-26,R 33,33,HC Energie Karlovy Vary,1474.37
2025-26,R 33,33,HC Kometa Brno,1493.53
2025-26,R 33,33,HC Oceláři Třinec,1581.2
2025-26,R 33,33,HC Olomouc,1488.21
2025-26,R 33,33,HC Sparta Praha,1542.61
2025-26,R 33,33,HC VERVA Litvínov,1383.29
2025-26,R 33,33,HC VÍTKOVICE RIDERA,1506.86
2025-26,R 33,33,HC Škoda Plzeň,1539.95
2025-26,R 33,33,Mountfield HK,1569.13
2025-26,R 33,33,Rytíři Kladno,1438.74
2025-26,R 33,33,Č. Budějovice,1493.47
2025-26,R 34,34,BK Mladá Boleslav,1475.79
2025-26,R 34,34,Bílí Tygři Liberec,1504.88
2025-26,R 34,34,HC Dynamo Pardubice,1538.33
2025-26,R 34,34,HC Energie Karlovy Vary,1487.03
2025-26,R 34,34,HC Kometa Brno,1493.53
2025-26,R 34,34,HC Oceláři Třinec,1566.87
2025-26,R 34,34,HC Olomouc,1473.45
2025-26,R 34,34,HC Sparta Praha,1527.01
2025-26,R 34,34,HC VERVA Litvínov,1396.36
2025-26,R 34,34,HC VÍTKOVICE RIDERA,1495.77
2025-26,R 34,34,HC Škoda Plzeň,1527.29
2025-26,R 34,34,Mountfield HK,1580.22
2025-26,R 34,34,Rytíři Kladno,1453.06
2025-26,R 34,34,Č. Budějovice,1480.4
2025-26,R 35,35,BK Mladá Boleslav,1487.54
2025-26,R 35,35,Bílí Tygři Liberec,1493.13
2025-26,R 35,35,HC Dynamo Pardubice,1546.31
2025-26,R 35,35,HC Energie Karlovy Vary,1469.63
2025-26,R 35,35,HC Kometa Brno,1505.61
2025-26,R 35,35,HC Oceláři Třinec,1554.79
2025-26,R 35,35,HC Olomouc,1473.45
2025-26,R 35,35,HC Sparta Praha,1537.02
2025-26,R 35,35,HC VERVA Litvínov,1388.38
2025-26,R 35,35,HC VÍTKOVICE RIDERA,1495.77
2025-26,R 35,35,HC Škoda Plzeň,1517.29
2025-26,R 35,35,Mountfield HK,1580.22
2025-26,R 35,35,Rytíři Kladno,1470.46
2025-26,R 35,35,Č. Budějovice,1480.4
2025-26,R 36,36,BK Mladá Boleslav,1487.54
2025-26,R 36,36,Bílí Tygři Liberec,1493.13
2025-26,R 36,36,HC Dynamo Pardubice,1546.31
2025-26,R 36,36,HC Energie Karlovy Vary,1469.63
2025-26,R 36,36,HC Kometa Brno,1505.61
2025-26,R 36,36,HC Oceláři Třinec,1554.79
2025-26,R 36,36,HC Olomouc,1460.42
2025-26,R 36,36,HC Sparta Praha,1537.02
2025-26,R 36,36,HC VERVA Litvínov,1388.38
2025-26,R 36,36,HC VÍTKOVICE RIDERA,1495.77
2025-26,R 36,36,HC Škoda Plzeň,1517.29
2025-26,R 36,36,Mountfield HK,1593.25
2025-26,R 36,36,Rytíři Kladno,1470.46
2025-26,R 36,36,Č. Budějovice,1480.4
2025-26,R 37,37,BK Mladá Boleslav,1487.54
2025-26,R 37,37,Bílí Tygři Liberec,1493.13
2025-26,R 37,37,HC Dynamo Pardubice,1556.8
2025-26,R 37,37,HC Energie Karlovy Vary,1459.15
2025-26,R 37,37,HC Kometa Brno,1505.61
2025-26,R 37,37,HC Oceláři Třinec,1543.11
2025-26,R 37,37,HC Olomouc,1460.42
2025-26,R 37,37,HC Sparta Praha,1537.02
2025-26,R 37,37,HC VERVA Litvínov,1377.46
2025-26,R 37,37,HC VÍTKOVICE RIDERA,1507.45
2025-26,R 37,37,HC Škoda Plzeň,1528.21
2025-26,R 37,37,Mountfield HK,1593.25
2025-26,R 37,37,Rytíři Kladno,1470.46
2025-26,R 37,37,Č. Budějovice,1480.4
2025-26,R 38,38,BK Mladá Boleslav,1477.33
2025-26,R 38,38,Bílí Tygři Liberec,1493.13
