season,round,round_index,team,elo
2025-26,R 19,19,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1532.77
2025-26,R 19,19,"HK Nitra, s.r.o.",1581.6
2025-26,R 19,19,"HK Rysy, s.r.o.",1464.19
2025-26,R 19,19,HKM a.s,1508.26
2025-26,R 19,19,"Hokejový klub DUKLA Trenčín, a.s.",1445.21
2025-26,R 19,19,Hokejový klub Dukla Ingema Michalovce,1451.54
2025-26,R 19,19,Hokejový klub Poprad a.s.,1458.66
2025-26,R 19,19,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1478.03
2025-26,R 19,19,Presov Hockey a.s.,1400.99
2025-26,R 19,19,"VLCI ŽILINA, a.s.",1566.88
2025-26,R 20,20,HC Košice s.r.o.,1539.74
2025-26,R 20,20,"HC SLOVAN Bratislava, a.s.",1561.77
2025-26,R 20,20,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1522.68
2025-26,R 20,20,"HK Nitra, s.r.o.",1596.51
2025-26,R 20,20,"HK Rysy, s.r.o.",1451.59
2025-26,R 20,20,HKM a.s,1493.34
2025-26,R 20,20,"Hokejový klub DUKLA Trenčín, a.s.",1457.06
2025-26,R 20,20,Hokejový klub Dukla Ingema Michalovce,1444.74
2025-26,R 20,20,Hokejový klub Poprad a.s.,1479.1
2025-26,R 20,20,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1466.18
2025-26,R 20,20,Presov Hockey a.s.,1413.6
2025-26,R 20,20,"VLCI ŽILINA, a.s.",1573.68
2025-26,R 21,21,HC Košice s.r.o.,1551.62
2025-26,R 21,21,"HC SLOVAN Bratislava, a.s.",1549.08
2025-26,R 21,21,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1522.68
2025-26,R 21,21,"HK Nitra, s.r.o.",1601.76
2025-26,R 21,21,"HK Rysy, s.r.o.",1451.59
2025-26,R 21,21,HKM a.s,1482.93
2025-26,R 21,21,"Hokejový klub DUKLA Trenčín, a.s.",1445.74
2025-26,R 21,21,Hokejový klub Dukla Ingema Michalovce,1456.06
2025-26,R 21,21,Hokejový klub Poprad a.s.,1489.51
2025-26,R 21,21,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1478.86
2025-26,R 21,21,Presov Hockey a.s.,1408.35
2025-26,R 21,21,"VLCI ŽILINA, a.s.",1561.81
2025-26,R 22,22,HC Košice s.r.o.,1538.66
2025-26,R 22,22,"HC SLOVAN Bratislava, a.s.",1558.9
2025-26,R 22,22,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1522.68
2025-26,R 22,22,"HK Nitra, s.r.o.",1601.76
2025-26,R 22,22,"HK Rysy, s.r.o.",1464.66
2025-26,R 22,22,HKM a.s,1490.82
2025-26,R 22,22,"Hokejový klub DUKLA Trenčín, a.s.",1458.7
2025-26,R 22,22,Hokejový klub Dukla Ingema Michalovce,1446.23
2025-26,R 22,22,Hokejový klub Poprad a.s.,1479.2
2025-26,R 22,22,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1489.17
2025-26,R 22,22,Presov Hockey a.s.,1400.46
2025-26,R 22,22,"VLCI ŽILINA, a.s.",1548.74
2025-26,R 18,18,HC Košice s.r.o.,1538.66
2025-26,R 18,18,"HC SLOVAN Bratislava, a.s.",1569.52
2025-26,R 18,18,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1522.68
2025-26,R 18,18,"HK Nitra, s.r.o.",1601.76
2025-26,R 18,18,"HK Rysy, s.r.o.",1464.66
2025-26,R 18,18,HKM a.s,1490.82
2025-26,R 18,18,"Hokejový klub DUKLA Trenčín, a.s.",1458.7
2025-26,R 18,18,Hokejový klub Dukla Ingema Michalovce,1446.23
2025-26,R 18,18,Hokejový klub Poprad a.s.,1479.2
2025-26,R 18,18,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1489.17
2025-26,R 18,18,Presov Hockey a.s.,1400.46
2025-26,R 18,18,"VLCI ŽILINA, a.s.",1538.12
2025-26,R 22,22,HC Košice s.r.o.,1538.66
2025-26,R 22,22,"HC SLOVAN Bratislava, a.s.",1569.52
2025-26,R 22,22,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1507.1
2025-26,R 22,22,"HK Nitra, s.r.o.",1617.34
2025-26,R 22,22,"HK Rysy, s.r.o.",1464.66
2025-26,R 22,22,HKM a.s,1490.82
2025-26,R 22,22,"Hokejový klub DUKLA Trenčín, a.s.",1458.7
2025-26,R 22,22,Hokejový klub Dukla Ingema Michalovce,1446.23
2025-26,R 22,22,Hokejový klub Poprad a.s.,1479.2
2025-26,R 22,22,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1489.17
2025-26,R 22,22,Presov Hockey a.s.,1400.46
2025-26,R 22,22,"VLCI ŽILINA, a.s.",1538.12
2025-26,R 23,23,HC Košice s.r.o.,1553.54
2025-26,R 23,23,"HC SLOVAN Bratislava, a.s.",1554.64
2025-26,R 23,23,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1490.38
2025-26,R 23,23,"HK Nitra, s.r.o.",1625.1
2025-26,R 23,23,"HK Rysy, s.r.o.",1453.52
2025-26,R 23,23,HKM a.s,1507.54
2025-26,R 23,23,"Hokejový klub DUKLA Trenčín, a.s.",1469.85
2025-26,R 23,23,Hokejový klub Dukla Ingema Michalovce,1434.31
2025-26,R 23,23,Hokejový klub Poprad a.s.,1491.28
2025-26,R 23,23,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1501.1
2025-26,R 23,23,Presov Hockey a.s.,1388.39
2025-26,R 23,23,"VLCI ŽILINA, a.s.",1530.36
2025-26,R 24,24,HC Košice s.r.o.,1566.91
2025-26,R 24,24,"HC SLOVAN Bratislava, a.s.",1564.14
2025-26,R 24,24,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1503.67
2025-26,R 24,24,"HK Nitra, s.r.o.",1606.72
2025-26,R 24,24,"HK Rysy, s.r.o.",1444.02
2025-26,R 24,24,HKM a.s,1494.72
2025-26,R 24,24,"Hokejový klub DUKLA Trenčín, a.s.",1488.22
2025-26,R 24,24,Hokejový klub Dukla Ingema Michalovce,1445.93
2025-26,R 24,24,Hokejový klub Poprad a.s.,1479.66
2025-26,R 24,24,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1487.73
2025-26,R 24,24,Presov Hockey a.s.,1375.1
2025-26,R 24,24,"VLCI ŽILINA, a.s.",1543.18
2025-26,R 25,25,HC Košice s.r.o.,1573.56
2025-26,R 25,25,"HC SLOVAN Bratislava, a.s.",1579.4
2025-26,R 25,25,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1492.98
2025-26,R 25,25,"HK Nitra, s.r.o.",1591.46
2025-26,R 25,25,"HK Rysy, s.r.o.",1455.27
2025-26,R 25,25,HKM a.s,1483.56
2025-26,R 25,25,"Hokejový klub DUKLA Trenčín, a.s.",1499.38
2025-26,R 25,25,Hokejový klub Dukla Ingema Michalovce,1439.28
2025-26,R 25,25,Hokejový klub Poprad a.s.,1490.35
2025-26,R 25,25,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1476.48
2025-26,R 25,25,Presov Hockey a.s.,1389.59
2025-26,R 25,25,"VLCI ŽILINA, a.s.",1528.69
2025-26,R 26,26,HC Košice s.r.o.,1550.4
2025-26,R 26,26,"HC SLOVAN Bratislava, a.s.",1589.11
2025-26,R 26,26,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1510.44
2025-26,R 26,26,"HK Nitra, s.r.o.",1578.27
2025-26,R 26,26,"HK Rysy, s.r.o.",1444.81
2025-26,R 26,26,HKM a.s,1473.85
2025-26,R 26,26,"Hokejový klub DUKLA Trenčín, a.s.",1486.32
2025-26,R 26,26,Hokejový klub Dukla Ingema Michalovce,1449.74
2025-26,R 26,26,Hokejový klub Poprad a.s.,1513.5
2025-26,R 26,26,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1489.67
2025-26,R 26,26,Presov Hockey a.s.,1402.65
2025-26,R 26,26,"VLCI ŽILINA, a.s.",1511.23
2025-26,R 27,27,HC Košice s.r.o.,1533.41
2025-26,R 27,27,"HC SLOVAN Bratislava, a.s.",1596.23
2025-26,R 27,27,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1510.44
2025-26,R 27,27,"HK Nitra, s.r.o.",1565.57
2025-26,R 27,27,"HK Rysy, s.r.o.",1436.09
2025-26,R 27,27,HKM a.s,1473.85
