source,league,league_label,game_url,match_date,home_team,away_team,home_score,away_score,status,bookmaker,outcome_type,european_odds,fetched_at
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#2q6bOzjK,2026-03-27,Kolner,Schwenninger,4,2,final,OddsPortal Avg,away,5.40,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#zwEC0XcD,2026-03-25,Schwenninger,Kolner,0,1,final,OddsPortal Avg,home,3.20,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#zwEC0XcD,2026-03-25,Schwenninger,Kolner,0,1,final,OddsPortal Avg,draw,4.40,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#zwEC0XcD,2026-03-25,Schwenninger,Kolner,0,1,final,OddsPortal Avg,away,2.03,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#8AUFh6g3,2026-03-25,Adler Mannheim,Bremerhaven,5,2,final,OddsPortal Avg,home,1.83,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#8AUFh6g3,2026-03-25,Adler Mannheim,Bremerhaven,5,2,final,OddsPortal Avg,draw,4.52,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#8AUFh6g3,2026-03-25,Adler Mannheim,Bremerhaven,5,2,final,OddsPortal Avg,away,4.03,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#WO78lDB6,2026-03-24,Straubing Tigers,Eisbaren Berlin,5,1,final,OddsPortal Avg,home,2.41,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#WO78lDB6,2026-03-24,Straubing Tigers,Eisbaren Berlin,5,1,final,OddsPortal Avg,draw,4.40,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#WO78lDB6,2026-03-24,Straubing Tigers,Eisbaren Berlin,5,1,final,OddsPortal Avg,away,2.55,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#fPNzzEdD,2026-03-24,Munchen,ERC Ingolstadt,5,6,final,OddsPortal Avg,home,2.25,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#fPNzzEdD,2026-03-24,Munchen,ERC Ingolstadt,5,6,final,OddsPortal Avg,draw,4.60,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#fPNzzEdD,2026-03-24,Munchen,ERC Ingolstadt,5,6,final,OddsPortal Avg,away,3.40,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#zTdPdIkD,2026-03-22,Grizzly Wolfsburg,Schwenninger,2,3,final_ot,OddsPortal Avg,home,2.21,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#zTdPdIkD,2026-03-22,Grizzly Wolfsburg,Schwenninger,2,3,final_ot,OddsPortal Avg,draw,4.50,2026-04-07T13:57:39.943163+00:00
