game_id,date,home_team,away_team,score,away_abbr,away_faceoffs,away_hits,away_pim,away_score,away_shots,home_abbr,home_faceoffs,home_hits,home_pim,home_score,home_shots,is_overtime,is_shootout,period_scores
2921939,2025-11-26,HC Škoda Plzeň,HC VÍTKOVICE RIDERA,7:0,VIT,23,4,27,0,17,PLZ,28,7,6,7,34,0,0,"5:0, 1:0, 1:0"
2921948,2025-11-28,HC Oceláři Třinec,HC Olomouc,5:2,OLO,28,0,6,2,34,TRI,41,3,8,5,33,0,0,"1:1, 2:0, 2:1"
2921945,2025-11-28,HC Škoda Plzeň,Bílí Tygři Liberec,2:1,LIB,29,0,12,1,19,PLZ,23,9,12,2,24,0,0,"0:0, 0:1, 1:0 - 1:0"
2921950,2025-11-28,Č. Budějovice,HC Sparta Praha,3:1,SPA,32,3,8,1,34,CEB,30,8,8,3,28,0,0,"1:1, 1:0, 1:0"
2921946,2025-11-28,HC Dynamo Pardubice,Mountfield HK,3:1,MHK,27,6,8,1,21,PCE,26,9,4,3,33,0,0,"1:1, 0:0, 2:0"
2921947,2025-11-28,Rytíři Kladno,BK Mladá Boleslav,5:0,MBL,31,6,4,0,38,KLA,22,10,8,5,22,0,0,"1:0, 4:0, 0:0"
2921949,2025-11-28,HC Energie Karlovy Vary,HC VÍTKOVICE RIDERA,4:1,VIT,26,2,31,1,27,KVA,26,2,8,4,29,0,0,"1:0, 2:1, 1:0"
2921951,2025-11-28,HC VERVA Litvínov,HC Kometa Brno,6:2,KOM,33,4,10,2,31,LIT,36,3,4,6,28,0,0,"3:0, 2:1, 1:1"
2921956,2025-11-30,Bílí Tygři Liberec,HC Dynamo Pardubice,4:2,PCE,28,7,6,2,40,LIB,32,2,31,4,20,0,0,"0:1, 3:1, 1:0"
2921957,2025-11-30,HC Oceláři Třinec,HC Sparta Praha,1:2,SPA,40,2,12,2,28,TRI,34,5,8,1,35,0,0,"0:2, 1:0, 0:0"
2921954,2025-11-30,HC VERVA Litvínov,HC Energie Karlovy Vary,1:2,KVA,31,11,6,2,27,LIT,26,6,8,1,26,0,0,"0:0, 0:2, 1:0"
2921952,2025-11-30,Mountfield HK,Č. Budějovice,4:2,CEB,42,4,4,2,17,MHK,25,7,4,4,30,0,0,"0:2, 1:0, 3:0"
2921953,2025-11-30,HC VÍTKOVICE RIDERA,Rytíři Kladno,0:3,KLA,39,4,46,3,22,VIT,38,4,11,0,39,0,0,"0:1, 0:0, 0:2"
2921958,2025-11-30,BK Mladá Boleslav,HC Kometa Brno,3:4,KOM,31,2,6,4,44,MBL,30,2,27,3,35,0,0,"2:2, 0:2, 1:0"
2921955,2025-11-30,HC Olomouc,HC Škoda Plzeň,1:0,PLZ,25,1,10,0,23,OLO,23,6,4,1,25,0,0,"0:0, 1:0, 0:0"
2921811,2025-12-03,HC Oceláři Třinec,Mountfield HK,6:1,MHK,23,3,8,1,23,TRI,37,5,4,6,37,0,0,"2:0, 1:1, 3:0"
2922088,2025-12-03,HC VÍTKOVICE RIDERA,HC Olomouc,1:5,OLO,30,3,10,5,23,VIT,26,4,8,1,41,0,0,"0:3, 1:2, 0:0"
2921971,2025-12-05,HC Oceláři Třinec,Bílí Tygři Liberec,3:5,LIB,34,1,2,5,34,TRI,27,3,4,3,38,0,0,"0:1, 2:2, 1:2"
2921960,2025-12-05,HC Škoda Plzeň,Č. Budějovice,2:3,CEB,36,2,12,3,35,PLZ,29,3,6,2,22,0,0,"2:0, 0:1, 0:1 - 0:1"
2921964,2025-12-05,HC VERVA Litvínov,HC VÍTKOVICE RIDERA,2:5,VIT,29,1,4,5,27,LIT,32,2,6,2,23,0,0,"1:0, 1:1, 0:4"
2921961,2025-12-05,HC Kometa Brno,HC Sparta Praha,3:1,SPA,33,6,10,1,27,KOM,28,2,0,3,29,0,0,"1:1, 1:0, 1:0"
2921962,2025-12-05,HC Dynamo Pardubice,BK Mladá Boleslav,5:2,MBL,27,3,6,2,17,PCE,33,4,4,5,33,0,0,"0:2, 3:0, 2:0"
2921963,2025-12-05,Rytíři Kladno,Mountfield HK,2:3,MHK,26,6,12,3,24,KLA,39,4,8,2,33,0,0,"0:0, 1:0, 1:2 - 0:1"
2921965,2025-12-05,HC Energie Karlovy Vary,HC Olomouc,4:2,OLO,22,1,6,2,19,KVA,41,6,8,4,26,0,0,"1:0, 1:2, 2:0"
2921967,2025-12-07,Mountfield HK,HC Škoda Plzeň,5:4,PLZ,43,6,13,4,29,MHK,34,4,19,5,31,0,0,"2:1, 2:3, 1:0"
2921970,2025-12-07,Č. Budějovice,HC Dynamo Pardubice,3:6,PCE,43,3,20,6,28,CEB,30,2,4,3,29,0,0,"1:1, 0:2, 2:3"
2921959,2025-12-07,HC Oceláři Třinec,BK Mladá Boleslav,5:2,MBL,28,6,4,2,31,TRI,31,7,0,5,24,0,0,"1:2, 2:0, 2:0"
2921969,2025-12-07,HC VERVA Litvínov,Bílí Tygři Liberec,3:2,LIB,36,3,8,2,31,LIT,32,6,8,3,29,0,0,"2:1, 0:1, 1:0"
2921966,2025-12-07,HC VÍTKOVICE RIDERA,HC Kometa Brno,4:3,KOM,35,8,8,3,28,VIT,33,2,6,4,28,0,0,"2:1, 1:1, 1:1"
2921972,2025-12-07,HC Sparta Praha,HC Energie Karlovy Vary,6:1,KVA,26,3,41,1,16,SPA,33,6,41,6,30,0,0,"1:0, 4:1, 1:0"
2921968,2025-12-07,HC Olomouc,Rytíři Kladno,4:1,KLA,32,7,10,1,28,OLO,37,7,8,4,25,0,0,"0:1, 3:0, 1:0"
2921993,2025-12-17,HC Oceláři Třinec,Mountfield HK,2:5,MHK,23,5,8,5,30,TRI,32,4,12,2,28,0,0,"0:1, 1:2, 1:2"
2921848,2025-12-17,HC VÍTKOVICE RIDERA,HC Škoda Plzeň,1:3,PLZ,21,8,4,3,32,VIT,33,5,0,1,26,0,0,"0:1, 1:1, 0:1"
2921975,2025-12-17,HC Dynamo Pardubice,HC Olomouc,4:5,OLO,29,3,8,5,29,PCE,37,3,29,4,37,0,0,"3:0, 0:2, 1:2 - 0:1"
2921973,2025-12-19,HC Oceláři Třinec,HC Škoda Plzeň,2:1,PLZ,39,0,12,1,26,TRI,27,2,12,2,32,0,0,"0:1, 0:0, 1:0 - 1:0"
2921974,2025-12-19,HC VÍTKOVICE RIDERA,BK Mladá Boleslav,1:2,MBL,23,6,6,2,24,VIT,27,6,4,1,16,0,0,"0:2, 1:0, 0:0"
2921978,2025-12-19,HC VERVA Litvínov,HC Sparta Praha,3:2,SPA,32,4,33,2,26,LIT,38,3,8,3,26,0,0,"2:1, 1:1, 0:0"
2921976,2025-12-19,Rytíři Kladno,Č. Budějovice,2:3,CEB,24,6,6,3,37,KLA,27,7,12,2,20,0,0,"0:0, 2:2, 0:1"
2921977,2025-12-19,HC Energie Karlovy Vary,Mountfield HK,4:1,MHK,19,2,4,1,24,KVA,35,5,4,4,32,0,0,"2:0, 1:0, 1:1"
2921979,2025-12-19,HC Kometa Brno,Bílí Tygři Liberec,3:1,LIB,30,6,4,1,34,KOM,32,8,8,3,35,0,0,"2:0, 0:0, 1:1"
2921981,2025-12-21,HC Sparta Praha,HC VÍTKOVICE RIDERA,3:6,VIT,26,2,12,6,21,SPA,29,5,6,3,43,0,0,"1:2, 2:2, 0:2"
