season,round,round_index,team,elo
2025-26,R 20,20,HC Ambri-Piotta,1435.56
2025-26,R 20,20,HC Davos,1594.56
2025-26,R 20,20,HC Lugano,1462.43
2025-26,R 20,20,Lausanne HC,1548.18
2025-26,R 20,20,SC Bern,1453.46
2025-26,R 20,20,SC Rapperswil-Jona Lakers,1529.32
2025-26,R 20,20,SCL Tigers,1480.53
2025-26,R 20,20,SCRJ Lakers,1544.33
2025-26,R 20,20,ZSC Lions,1530.34
2025-26,R 21,21,EHC Biel-Bienne,1512.76
2025-26,R 21,21,EHC Kloten,1467.59
2025-26,R 21,21,EV Zug,1495.95
2025-26,R 21,21,Fribourg-Gottéron,1526.4
2025-26,R 21,21,Genève-Servette HC,1491.96
2025-26,R 21,21,HC Ajoie,1404.21
2025-26,R 21,21,HC Ambri-Piotta,1448.22
2025-26,R 21,21,HC Davos,1601.23
2025-26,R 21,21,HC Lugano,1462.43
2025-26,R 21,21,Lausanne HC,1548.18
2025-26,R 21,21,SC Bern,1469.21
2025-26,R 21,21,SC Rapperswil-Jona Lakers,1529.32
2025-26,R 21,21,SCL Tigers,1469.5
2025-26,R 21,21,SCRJ Lakers,1555.35
2025-26,R 21,21,ZSC Lions,1517.68
2025-26,R 22,22,EHC Biel-Bienne,1512.76
2025-26,R 22,22,EHC Kloten,1467.59
2025-26,R 22,22,EV Zug,1495.95
2025-26,R 22,22,Fribourg-Gottéron,1526.4
2025-26,R 22,22,Genève-Servette HC,1504.39
2025-26,R 22,22,HC Ajoie,1395.87
2025-26,R 22,22,HC Ambri-Piotta,1448.22
2025-26,R 22,22,HC Davos,1607.6
2025-26,R 22,22,HC Lugano,1470.77
2025-26,R 22,22,Lausanne HC,1535.75
2025-26,R 22,22,SC Bern,1462.84
2025-26,R 22,22,SC Rapperswil-Jona Lakers,1529.32
2025-26,R 22,22,SCL Tigers,1469.5
2025-26,R 22,22,SCRJ Lakers,1555.35
2025-26,R 22,22,ZSC Lions,1517.68
2025-26,R 23,23,EHC Biel-Bienne,1512.76
2025-26,R 23,23,EHC Kloten,1467.59
2025-26,R 23,23,EV Zug,1495.95
2025-26,R 23,23,Fribourg-Gottéron,1526.4
